Parameters: {'n': 256, 'q': 3329, 'k': 1, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 800, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 10, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 121/121 | Mean std_B: 15529.95
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.14
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15530.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.08
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.60
- Algo: flatter | Updated 0/121 | Mean std_B: 15511.91
- Algo: flatter | Updated 0/121 | Mean std_B: 15512.42
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15492.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15539.25
- Algo: flatter | Updated 0/121 | Mean std_B: 15544.56
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.56
- Algo: flatter | Updated 0/121 | Mean std_B: 15519.61
- Algo: flatter | Updated 0/121 | Mean std_B: 15574.77
- Algo: flatter | Updated 0/121 | Mean std_B: 15540.71
- Algo: flatter | Updated 0/121 | Mean std_B: 15470.78
- Algo: flatter | Updated 0/121 | Mean std_B: 15523.95
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.25
- Algo: flatter | Updated 0/121 | Mean std_B: 15536.07
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15542.85
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.54
- Algo: flatter | Updated 0/121 | Mean std_B: 15471.26
- Algo: flatter | Updated 0/121 | Mean std_B: 15475.97
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.55
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.85
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.09
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15545.66
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.26
- Algo: flatter | Updated 0/121 | Mean std_B: 15520.37
- Algo: flatter | Updated 0/121 | Mean std_B: 15541.01
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.03
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.84
- Algo: flatter | Updated 0/121 | Mean std_B: 15527.04
- Algo: flatter | Updated 0/121 | Mean std_B: 15499.44
- Algo: flatter | Updated 0/121 | Mean std_B: 15550.43
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.95
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.03
- Algo: flatter | Updated 0/121 | Mean std_B: 15553.38
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15589.60
- Algo: flatter | Updated 0/121 | Mean std_B: 15528.72
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.55
Tour 2 | Time: 50.96s | Mean std_B: 15522.10 | Reduction Factor: 1.0000
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.54
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.95
- Algo: flatter | Updated 0/121 | Mean std_B: 15527.04
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.08
- Algo: flatter | Updated 0/121 | Mean std_B: 15520.21
- Algo: flatter | Updated 0/121 | Mean std_B: 15510.65
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.84
- Algo: flatter | Updated 0/121 | Mean std_B: 15523.95
- Algo: flatter | Updated 0/121 | Mean std_B: 15534.66
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15512.42
- Algo: flatter | Updated 0/121 | Mean std_B: 15541.01
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.25
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.56
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.60
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.26
- Algo: flatter | Updated 0/121 | Mean std_B: 15475.97
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.55
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15517.67
- Algo: flatter | Updated 0/121 | Mean std_B: 15542.85
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.14
- Algo: flatter | Updated 0/121 | Mean std_B: 15492.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15556.31
- Algo: flatter | Updated 0/121 | Mean std_B: 15510.27
- Algo: flatter | Updated 0/121 | Mean std_B: 15574.77
- Algo: flatter | Updated 0/121 | Mean std_B: 15531.43
- Algo: flatter | Updated 0/121 | Mean std_B: 15550.43
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.55
- Algo: flatter | Updated 0/121 | Mean std_B: 15553.38
- Algo: flatter | Updated 0/121 | Mean std_B: 15589.60
- Algo: flatter | Updated 0/121 | Mean std_B: 15539.25
- Algo: flatter | Updated 0/121 | Mean std_B: 15499.44
- Algo: flatter | Updated 0/121 | Mean std_B: 15536.07
- Algo: flatter | Updated 0/121 | Mean std_B: 15471.26
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15544.56
- Algo: flatter | Updated 0/121 | Mean std_B: 15530.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15535.44
- Algo: flatter | Updated 0/121 | Mean std_B: 15528.72
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.09
- Algo: flatter | Updated 0/121 | Mean std_B: 15490.79
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15534.61
- Algo: flatter | Updated 0/121 | Mean std_B: 15523.78
- Algo: flatter | Updated 0/121 | Mean std_B: 15470.78
- Algo: flatter | Updated 0/121 | Mean std_B: 15513.66
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.73
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.03
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.96
- Algo: flatter | Updated 0/121 | Mean std_B: 15540.71
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.90
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.14
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.03
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.85
- Algo: flatter | Updated 0/121 | Mean std_B: 15545.66
- Algo: flatter | Updated 0/121 | Mean std_B: 15519.61
- Algo: flatter | Updated 0/121 | Mean std_B: 15520.37
- Algo: flatter | Updated 0/121 | Mean std_B: 15570.37
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.66
- Algo: flatter | Updated 0/121 | Mean std_B: 15511.91
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.54
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15543.02
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.95
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15520.21
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.55
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.84
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15527.04
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15529.26
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15556.31
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.60
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15522.08
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.25
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15589.60
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.14
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15526.73
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.56
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15517.67
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15512.42
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15523.95
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15510.27
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.09
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15542.85
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15534.66
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15541.01
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15550.43
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15475.97
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15508.96
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15521.55
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.73
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15536.07
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15516.90
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15499.44
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15513.66
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15523.78
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15574.77
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15544.56
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15535.44
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15471.26
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.03
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.96
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15528.72
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15501.14
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15545.66
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15531.43
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15470.78
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15491.03
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15509.96
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15530.96
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15540.71
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15532.66
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15510.65
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15486.85
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15534.61
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15553.38
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15520.37
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15539.25
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15570.37
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15490.79
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15511.91
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15519.61
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15514.90
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15492.73
- Flatter stall after: 5, updating...
- Algo: flatter | Updated 0/121 | Mean std_B: 15543.02
- Flatter stall after: 5, updating...
- Algo: bkz2.0_20 | Updated 216/216 | Mean std_B: 12565.41
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12692.46
b'infinite loop in babai'
Upgrading float type to ld
- Algo: bkz2.0_20 | Updated 217/217 | Mean std_B: 12550.47
- Algo: bkz2.0_20 | Updated 205/205 | Mean std_B: 12897.85
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12601.36
- Algo: bkz2.0_20 | Updated 210/210 | Mean std_B: 12826.78
- Algo: bkz2.0_20 | Updated 207/207 | Mean std_B: 12844.67
- Algo: bkz2.0_20 | Updated 215/215 | Mean std_B: 12696.12
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12653.51
- Algo: bkz2.0_20 | Updated 207/207 | Mean std_B: 12864.86
- Algo: bkz2.0_20 | Updated 216/216 | Mean std_B: 12618.20
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12741.71
- Algo: bkz2.0_20 | Updated 212/212 | Mean std_B: 12693.52
- Algo: bkz2.0_20 | Updated 212/212 | Mean std_B: 12735.00
- Algo: bkz2.0_20 | Updated 216/216 | Mean std_B: 12538.25
- Algo: bkz2.0_20 | Updated 217/217 | Mean std_B: 12486.61
- Algo: bkz2.0_20 | Updated 223/223 | Mean std_B: 12388.16
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12678.88
- Algo: bkz2.0_20 | Updated 206/206 | Mean std_B: 12924.92
- Algo: bkz2.0_20 | Updated 215/215 | Mean std_B: 12618.85
- Algo: bkz2.0_20 | Updated 215/215 | Mean std_B: 12636.95
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12737.60
- Algo: bkz2.0_20 | Updated 215/215 | Mean std_B: 12610.68
- Algo: bkz2.0_20 | Updated 212/212 | Mean std_B: 12737.38
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12684.65
- Algo: bkz2.0_20 | Updated 216/216 | Mean std_B: 12583.55
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12729.29
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12638.48
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12548.11
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12637.87
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12638.89
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12640.43
- Algo: bkz2.0_20 | Updated 223/223 | Mean std_B: 12375.44
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12649.56
- Algo: bkz2.0_20 | Updated 210/210 | Mean std_B: 12804.79
- Algo: bkz2.0_20 | Updated 214/214 | Mean std_B: 12685.64
- Algo: bkz2.0_20 | Updated 209/209 | Mean std_B: 12839.08
- Algo: bkz2.0_20 | Updated 212/212 | Mean std_B: 12710.30
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12649.73
- Algo: bkz2.0_20 | Updated 209/209 | Mean std_B: 12816.17
- Algo: bkz2.0_20 | Updated 209/209 | Mean std_B: 12815.39
- Algo: bkz2.0_20 | Updated 210/210 | Mean std_B: 12868.38
- Algo: bkz2.0_20 | Updated 213/213 | Mean std_B: 12657.34
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12741.82
- Algo: bkz2.0_20 | Updated 209/209 | Mean std_B: 12840.83
- Algo: bkz2.0_20 | Updated 205/205 | Mean std_B: 12912.64
- Algo: bkz2.0_20 | Updated 206/206 | Mean std_B: 12874.19
- Algo: bkz2.0_20 | Updated 211/211 | Mean std_B: 12786.60
