Parameters: {'n': 256, 'q': 179067461, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'qd', 'matrix_config': 'salsa', 'reduction_samples': 448, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'no', 'attack_every': 0, 'save_strategy': 'hour', 'save_every': 40, 'stop_strategy': 'hour', 'stop_after': 46, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd'], 'reload_from_salsa': None, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 0/448 | Mean std_B: 1165706017.90
- Algo: flatter | Updated 0/448 | Mean std_B: 1166556082.35
- Algo: flatter | Updated 0/448 | Mean std_B: 1167445427.91
- Algo: flatter | Updated 0/448 | Mean std_B: 1166916169.53
- Algo: flatter | Updated 0/448 | Mean std_B: 1167431558.31
- Algo: flatter | Updated 0/448 | Mean std_B: 1166406909.32
- Algo: flatter | Updated 0/448 | Mean std_B: 1165401694.39
- Algo: flatter | Updated 0/448 | Mean std_B: 1166405128.04
- Algo: flatter | Updated 0/448 | Mean std_B: 1167230130.18
- Algo: flatter | Updated 0/448 | Mean std_B: 1167618546.64
- Algo: flatter | Updated 0/448 | Mean std_B: 1165982685.64
- Algo: flatter | Updated 0/448 | Mean std_B: 1165929610.85
- Algo: flatter | Updated 0/448 | Mean std_B: 1166918541.15
- Algo: flatter | Updated 0/448 | Mean std_B: 1166457274.17
- Algo: flatter | Updated 0/448 | Mean std_B: 1166767944.62
- Algo: flatter | Updated 0/448 | Mean std_B: 1165293318.94
- Algo: flatter | Updated 0/448 | Mean std_B: 1165513071.30
- Algo: flatter | Updated 0/448 | Mean std_B: 1167801452.37
- Algo: flatter | Updated 0/448 | Mean std_B: 1166588916.05
- Algo: flatter | Updated 0/448 | Mean std_B: 1167324443.79
- Algo: flatter | Updated 0/448 | Mean std_B: 1167202638.47
- Algo: flatter | Updated 0/448 | Mean std_B: 1164820621.82
- Algo: flatter | Updated 0/448 | Mean std_B: 1165103724.90
- Algo: flatter | Updated 0/448 | Mean std_B: 1166529865.80
- Algo: flatter | Updated 0/448 | Mean std_B: 1166857944.14
- Algo: flatter | Updated 0/448 | Mean std_B: 1166913877.40
- Algo: flatter | Updated 0/448 | Mean std_B: 1166952471.30
- Algo: flatter | Updated 0/448 | Mean std_B: 1166576879.79
- Algo: flatter | Updated 0/448 | Mean std_B: 1166541860.94
- Algo: flatter | Updated 0/448 | Mean std_B: 1167357697.30
- Algo: flatter | Updated 0/448 | Mean std_B: 1168389508.05
- Algo: flatter | Updated 0/448 | Mean std_B: 1166960457.46
- Algo: flatter | Updated 0/448 | Mean std_B: 1165840419.27
- Algo: flatter | Updated 0/448 | Mean std_B: 1166433796.52
- Algo: flatter | Updated 0/448 | Mean std_B: 1165864930.32
- Algo: flatter | Updated 0/448 | Mean std_B: 1166921456.05
- Algo: flatter | Updated 0/448 | Mean std_B: 1166166610.17
- Algo: flatter | Updated 0/448 | Mean std_B: 1165900112.30
- Algo: flatter | Updated 0/448 | Mean std_B: 1165371375.48
- Algo: flatter | Updated 0/448 | Mean std_B: 1164465896.76
- Algo: flatter | Updated 0/448 | Mean std_B: 1165508631.95
- Algo: flatter | Updated 0/448 | Mean std_B: 1166017901.69
- Algo: flatter | Updated 0/448 | Mean std_B: 1167045243.06
- Algo: flatter | Updated 0/448 | Mean std_B: 1165199499.08
- Algo: flatter | Updated 0/448 | Mean std_B: 1165964687.06
- Algo: flatter | Updated 0/448 | Mean std_B: 1167955248.73
- Algo: flatter | Updated 0/448 | Mean std_B: 1164763667.82
- Algo: flatter | Updated 0/448 | Mean std_B: 1167816856.40
- Algo: flatter | Updated 0/448 | Mean std_B: 1164443269.77
- Algo: flatter | Updated 0/448 | Mean std_B: 1164976318.74
- Algo: flatter | Updated 0/448 | Mean std_B: 1166565682.39
- Algo: flatter | Updated 0/448 | Mean std_B: 1166590646.26
Tour 2 | Time: 568.41s | Mean std_B: 1166329816.45 | Reduction Factor: 1.0000 | Prob: 0.0612
- Algo: flatter | Updated 0/448 | Mean std_B: 1166529865.80
- Algo: flatter | Updated 0/448 | Mean std_B: 1166457274.17
- Algo: flatter | Updated 0/448 | Mean std_B: 1166405128.04
- Algo: flatter | Updated 0/448 | Mean std_B: 1167955248.73
- Algo: flatter | Updated 0/448 | Mean std_B: 1167324443.79
- Algo: flatter | Updated 0/448 | Mean std_B: 1167202638.47
- Algo: flatter | Updated 0/448 | Mean std_B: 1166565682.39
- Algo: flatter | Updated 0/448 | Mean std_B: 1166556082.35
- Algo: flatter | Updated 0/448 | Mean std_B: 1164820621.82
- Algo: flatter | Updated 0/448 | Mean std_B: 1167261914.97
- Algo: flatter | Updated 0/448 | Mean std_B: 1165401694.39
