Parameters: {'n': 256, 'q': 3329, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'ld', 'matrix_config': 'salsa', 'reduction_samples': 0.875, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1000, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:45:5', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'no', 'attack_every': 0, 'save_strategy': 'hour', 'save_every': 40, 'stop_strategy': 'hour', 'stop_after': 46, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd'], 'reload_from_salsa': None, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 448/448 | Mean std_B: 21679.99
- Algo: flatter | Updated 448/448 | Mean std_B: 21695.73
- Algo: flatter | Updated 448/448 | Mean std_B: 21661.08
- Algo: flatter | Updated 448/448 | Mean std_B: 21678.84
- Algo: flatter | Updated 448/448 | Mean std_B: 21660.02
- Algo: flatter | Updated 448/448 | Mean std_B: 21637.93
- Algo: flatter | Updated 448/448 | Mean std_B: 21666.24
- Algo: flatter | Updated 448/448 | Mean std_B: 21642.07
- Algo: flatter | Updated 448/448 | Mean std_B: 21675.45
- Algo: flatter | Updated 448/448 | Mean std_B: 21685.08
- Algo: flatter | Updated 448/448 | Mean std_B: 21686.09
- Algo: flatter | Updated 448/448 | Mean std_B: 21694.86
- Algo: flatter | Updated 448/448 | Mean std_B: 21704.45
- Algo: flatter | Updated 448/448 | Mean std_B: 21698.41
- Algo: flatter | Updated 448/448 | Mean std_B: 21640.60
- Algo: flatter | Updated 448/448 | Mean std_B: 21696.40
- Algo: flatter | Updated 448/448 | Mean std_B: 21697.30
- Algo: flatter | Updated 448/448 | Mean std_B: 21686.09
- Algo: flatter | Updated 448/448 | Mean std_B: 21679.64
- Algo: flatter | Updated 448/448 | Mean std_B: 21699.58
- Algo: flatter | Updated 448/448 | Mean std_B: 21709.06
- Algo: flatter | Updated 448/448 | Mean std_B: 21716.42
- Algo: flatter | Updated 448/448 | Mean std_B: 21687.16
- Algo: flatter | Updated 448/448 | Mean std_B: 21681.40
- Algo: flatter | Updated 448/448 | Mean std_B: 21693.42
- Algo: flatter | Updated 448/448 | Mean std_B: 21672.48
- Algo: flatter | Updated 448/448 | Mean std_B: 21712.33
- Algo: flatter | Updated 448/448 | Mean std_B: 21693.66
- Algo: flatter | Updated 448/448 | Mean std_B: 21655.15
- Algo: flatter | Updated 448/448 | Mean std_B: 21699.25
- Algo: flatter | Updated 448/448 | Mean std_B: 21690.96
- Algo: flatter | Updated 448/448 | Mean std_B: 21672.04
- Algo: flatter | Updated 448/448 | Mean std_B: 21711.63
- Algo: flatter | Updated 448/448 | Mean std_B: 21705.59
- Algo: flatter | Updated 448/448 | Mean std_B: 21651.09
- Algo: flatter | Updated 448/448 | Mean std_B: 21671.22
- Algo: flatter | Updated 448/448 | Mean std_B: 21664.26
- Algo: flatter | Updated 448/448 | Mean std_B: 21688.30
- Algo: flatter | Updated 448/448 | Mean std_B: 21731.06
- Algo: flatter | Updated 448/448 | Mean std_B: 21690.89
- Algo: flatter | Updated 448/448 | Mean std_B: 21678.59
- Algo: flatter | Updated 448/448 | Mean std_B: 21722.97
- Algo: flatter | Updated 448/448 | Mean std_B: 21692.69
- Algo: flatter | Updated 448/448 | Mean std_B: 21680.32
- Algo: flatter | Updated 448/448 | Mean std_B: 21705.06
