Parameters: {'n': 256, 'q': 3329, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'qd', 'matrix_config': 'dual', 'reduction_samples': 712, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'no', 'attack_every': 0, 'save_strategy': 'hour', 'save_every': 40, 'stop_strategy': 'hour', 'stop_after': 46, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd'], 'reload_from_salsa': None, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 712/712 | Mean std_B: 21670.61
- Algo: flatter | Updated 712/712 | Mean std_B: 21695.28
- Algo: flatter | Updated 712/712 | Mean std_B: 21672.36
- Algo: flatter | Updated 712/712 | Mean std_B: 21678.06
- Algo: flatter | Updated 712/712 | Mean std_B: 21652.46
- Algo: flatter | Updated 712/712 | Mean std_B: 21688.30
- Algo: flatter | Updated 712/712 | Mean std_B: 21679.15
- Algo: flatter | Updated 712/712 | Mean std_B: 21687.78
- Algo: flatter | Updated 712/712 | Mean std_B: 21702.08
- Algo: flatter | Updated 712/712 | Mean std_B: 21651.92
- Algo: flatter | Updated 712/712 | Mean std_B: 21686.62
- Algo: flatter | Updated 712/712 | Mean std_B: 21686.03
- Algo: flatter | Updated 712/712 | Mean std_B: 21682.18
- Algo: flatter | Updated 712/712 | Mean std_B: 21681.11
- Algo: flatter | Updated 712/712 | Mean std_B: 21697.46
- Algo: flatter | Updated 712/712 | Mean std_B: 21649.18
- Algo: flatter | Updated 712/712 | Mean std_B: 21697.56
- Algo: flatter | Updated 712/712 | Mean std_B: 21667.88
- Algo: flatter | Updated 712/712 | Mean std_B: 21705.35
- Algo: flatter | Updated 712/712 | Mean std_B: 21664.63
- Algo: flatter | Updated 712/712 | Mean std_B: 21701.83
- Algo: flatter | Updated 712/712 | Mean std_B: 21663.68
- Algo: flatter | Updated 712/712 | Mean std_B: 21709.36
- Algo: flatter | Updated 712/712 | Mean std_B: 21667.44
- Algo: flatter | Updated 712/712 | Mean std_B: 21682.27
- Algo: flatter | Updated 712/712 | Mean std_B: 21684.51
- Algo: flatter | Updated 712/712 | Mean std_B: 21670.59
- Algo: flatter | Updated 712/712 | Mean std_B: 21707.93
